patientContext,fhirUser,operation,fhirServiceBaseUrl,resourceBody,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,patch,nonMatchUrl,matchPatient,N/A,N/A,N/A,patient/Condition.write,user/Patient.write,N/A,user/Observation.write,N/A,system/Patient.write,N/A,system/Condition.write
N/A,practitionerFhirUser,patch,matchUrl,matchPatient,patient/Patient.write,patient/Observation.write,patient/Observation.read,N/A,N/A,user/Patient.read,N/A,user/Condition.write,N/A,system/Observation.write,N/A
patientIdentity,patientFhirUser,patch,matchUrl,matchPatient,N/A,patient/Observation.write,patient/Observation.read,patient/Condition.write,N/A,N/A,N/A,N/A,N/A,system/Observation.write,system/Condition.write
N/A,patientFhirUser,patch,nonMatchUrl,matchPatient,patient/Patient.write,N/A,N/A,N/A,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,N/A,N/A
patientIdentity,N/A,patch,matchUrl,matchPatient,patient/Patient.write,N/A,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,N/A,user/Condition.write,system/Patient.write,N/A,N/A
N/A,N/A,patch,nonMatchUrl,matchPatient,N/A,patient/Observation.write,N/A,N/A,N/A,user/Patient.read,user/Observation.write,N/A,N/A,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,delete,matchUrl,matchPatient,patient/Patient.write,N/A,N/A,patient/Condition.write,N/A,N/A,user/Observation.write,user/Condition.write,N/A,N/A,system/Condition.write
N/A,practitionerFhirUser,delete,nonMatchUrl,matchPatient,N/A,patient/Observation.write,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,N/A,N/A,system/Patient.write,system/Observation.write,N/A
patientIdentity,patientFhirUser,delete,nonMatchUrl,matchPatient,patient/Patient.write,N/A,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,N/A,user/Condition.write,N/A,system/Observation.write,system/Condition.write
N/A,patientFhirUser,delete,matchUrl,matchPatient,N/A,patient/Observation.write,N/A,N/A,N/A,user/Patient.read,user/Observation.write,N/A,system/Patient.write,N/A,N/A
patientIdentity,N/A,delete,nonMatchUrl,matchPatient,N/A,N/A,patient/Observation.read,patient/Condition.write,N/A,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,N/A,N/A
N/A,N/A,delete,matchUrl,matchPatient,patient/Patient.write,patient/Observation.write,N/A,N/A,user/Patient.write,N/A,N/A,N/A,N/A,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,create,nonMatchUrl,unmatchPatient,N/A,patient/Observation.write,patient/Observation.read,patient/Condition.write,N/A,user/Patient.read,N/A,user/Condition.write,system/Patient.write,N/A,N/A
N/A,practitionerFhirUser,create,matchUrl,unmatchPatient,patient/Patient.write,N/A,N/A,N/A,user/Patient.write,N/A,user/Observation.write,N/A,N/A,system/Observation.write,system/Condition.write
patientIdentity,patientFhirUser,create,matchUrl,unmatchPatient,N/A,N/A,patient/Observation.read,N/A,N/A,N/A,N/A,user/Condition.write,N/A,system/Observation.write,system/Condition.write
N/A,patientFhirUser,create,nonMatchUrl,unmatchPatient,patient/Patient.write,patient/Observation.write,N/A,patient/Condition.write,user/Patient.write,user/Patient.read,user/Observation.write,N/A,system/Patient.write,N/A,N/A
patientIdentity,N/A,create,matchUrl,unmatchPatient,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,user/Observation.write,user/Condition.write,system/Patient.write,system/Observation.write,N/A
N/A,N/A,create,nonMatchUrl,unmatchPatient,N/A,N/A,N/A,N/A,N/A,user/Patient.read,N/A,N/A,N/A,N/A,system/Condition.write
patientIdentity,practitionerFhirUser,update,matchUrl,unmatchPatient,patient/Patient.write,patient/Observation.write,N/A,N/A,N/A,user/Patient.read,N/A,user/Condition.write,N/A,system/Observation.write,N/A
N/A,practitionerFhirUser,update,nonMatchUrl,unmatchPatient,N/A,N/A,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,user/Observation.write,N/A,system/Patient.write,N/A,system/Condition.write
patientIdentity,patientFhirUser,update,nonMatchUrl,unmatchPatient,patient/Patient.write,N/A,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,N/A,N/A,system/Patient.write,system/Observation.write,N/A
N/A,patientFhirUser,update,matchUrl,unmatchPatient,N/A,patient/Observation.write,N/A,patient/Condition.write,N/A,N/A,user/Observation.write,user/Condition.write,N/A,N/A,system/Condition.write
patientIdentity,N/A,update,nonMatchUrl,unmatchPatient,N/A,patient/Observation.write,N/A,N/A,user/Patient.write,N/A,user/Observation.write,user/Condition.write,system/Patient.write,N/A,system/Condition.write
N/A,N/A,update,matchUrl,unmatchPatient,patient/Patient.write,N/A,patient/Observation.read,patient/Condition.write,N/A,user/Patient.read,N/A,N/A,N/A,system/Observation.write,N/A
patientIdentity,practitionerFhirUser,patch,nonMatchUrl,unmatchPatient,patient/Patient.write,N/A,N/A,patient/Condition.write,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,practitionerFhirUser,patch,matchUrl,unmatchPatient,N/A,patient/Observation.write,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,patientFhirUser,patch,matchUrl,unmatchPatient,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,N/A,N/A,N/A,N/A,system/Condition.write
N/A,patientFhirUser,patch,nonMatchUrl,unmatchPatient,N/A,N/A,N/A,N/A,N/A,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,system/Observation.write,N/A
patientIdentity,N/A,patch,matchUrl,unmatchPatient,N/A,N/A,patient/Observation.read,N/A,N/A,N/A,user/Observation.write,N/A,system/Patient.write,N/A,N/A
N/A,N/A,patch,nonMatchUrl,unmatchPatient,patient/Patient.write,patient/Observation.write,N/A,patient/Condition.write,user/Patient.write,user/Patient.read,N/A,user/Condition.write,N/A,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,delete,matchUrl,unmatchPatient,N/A,N/A,N/A,N/A,user/Patient.write,user/Patient.read,N/A,user/Condition.write,system/Patient.write,N/A,system/Condition.write
N/A,practitionerFhirUser,delete,nonMatchUrl,unmatchPatient,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,N/A,N/A,user/Observation.write,N/A,N/A,system/Observation.write,N/A
patientIdentity,patientFhirUser,delete,nonMatchUrl,unmatchPatient,N/A,patient/Observation.write,N/A,patient/Condition.write,user/Patient.write,N/A,N/A,user/Condition.write,system/Patient.write,system/Observation.write,N/A
N/A,patientFhirUser,delete,matchUrl,unmatchPatient,patient/Patient.write,N/A,patient/Observation.read,N/A,N/A,user/Patient.read,user/Observation.write,N/A,N/A,N/A,system/Condition.write
patientIdentity,N/A,delete,nonMatchUrl,unmatchPatient,patient/Patient.write,N/A,patient/Observation.read,N/A,user/Patient.write,N/A,N/A,user/Condition.write,N/A,N/A,N/A
N/A,N/A,delete,matchUrl,unmatchPatient,N/A,patient/Observation.write,N/A,patient/Condition.write,N/A,user/Patient.read,user/Observation.write,N/A,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,create,nonMatchUrl,patientReferencePractitioner,patient/Patient.write,N/A,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,N/A,system/Observation.write,N/A
N/A,practitionerFhirUser,create,matchUrl,patientReferencePractitioner,N/A,patient/Observation.write,N/A,patient/Condition.write,N/A,N/A,N/A,N/A,system/Patient.write,N/A,system/Condition.write
patientIdentity,patientFhirUser,create,matchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,user/Observation.write,N/A,N/A,N/A,N/A
N/A,patientFhirUser,create,nonMatchUrl,patientReferencePractitioner,N/A,N/A,N/A,N/A,N/A,user/Patient.read,N/A,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,N/A,create,matchUrl,patientReferencePractitioner,N/A,N/A,patient/Observation.read,patient/Condition.write,N/A,user/Patient.read,user/Observation.write,N/A,system/Patient.write,system/Observation.write,N/A
N/A,N/A,create,nonMatchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,N/A,N/A,user/Patient.write,N/A,N/A,user/Condition.write,N/A,N/A,system/Condition.write
patientIdentity,practitionerFhirUser,update,matchUrl,patientReferencePractitioner,N/A,N/A,N/A,N/A,user/Patient.write,N/A,user/Observation.write,N/A,N/A,system/Observation.write,system/Condition.write
N/A,practitionerFhirUser,update,nonMatchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,N/A,user/Patient.read,N/A,user/Condition.write,system/Patient.write,N/A,N/A
patientIdentity,patientFhirUser,update,nonMatchUrl,patientReferencePractitioner,N/A,patient/Observation.write,N/A,patient/Condition.write,user/Patient.write,user/Patient.read,N/A,N/A,N/A,system/Observation.write,N/A
N/A,patientFhirUser,update,matchUrl,patientReferencePractitioner,patient/Patient.write,N/A,patient/Observation.read,N/A,N/A,N/A,user/Observation.write,user/Condition.write,system/Patient.write,N/A,system/Condition.write
patientIdentity,N/A,update,nonMatchUrl,patientReferencePractitioner,patient/Patient.write,N/A,N/A,patient/Condition.write,N/A,N/A,N/A,N/A,N/A,N/A,system/Condition.write
N/A,N/A,update,matchUrl,patientReferencePractitioner,N/A,patient/Observation.write,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,system/Observation.write,N/A
patientIdentity,practitionerFhirUser,patch,nonMatchUrl,patientReferencePractitioner,N/A,patient/Observation.write,patient/Observation.read,N/A,N/A,N/A,N/A,N/A,system/Patient.write,system/Observation.write,N/A
N/A,practitionerFhirUser,patch,matchUrl,patientReferencePractitioner,patient/Patient.write,N/A,N/A,patient/Condition.write,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,N/A,N/A,system/Condition.write
patientIdentity,patientFhirUser,patch,matchUrl,patientReferencePractitioner,N/A,N/A,patient/Observation.read,patient/Condition.write,N/A,user/Patient.read,N/A,user/Condition.write,N/A,N/A,N/A
N/A,patientFhirUser,patch,nonMatchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,N/A,N/A,user/Patient.write,N/A,user/Observation.write,N/A,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,N/A,patch,matchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,N/A,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
N/A,N/A,patch,nonMatchUrl,patientReferencePractitioner,N/A,N/A,N/A,N/A,N/A,user/Patient.read,user/Observation.write,N/A,N/A,N/A,N/A
patientIdentity,practitionerFhirUser,delete,matchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,user/Observation.write,N/A,system/Patient.write,N/A,system/Condition.write
N/A,practitionerFhirUser,delete,nonMatchUrl,patientReferencePractitioner,N/A,N/A,N/A,N/A,N/A,user/Patient.read,N/A,user/Condition.write,N/A,system/Observation.write,N/A
patientIdentity,patientFhirUser,delete,nonMatchUrl,patientReferencePractitioner,patient/Patient.write,N/A,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,user/Observation.write,N/A,system/Patient.write,system/Observation.write,system/Condition.write
N/A,patientFhirUser,delete,matchUrl,patientReferencePractitioner,N/A,patient/Observation.write,N/A,patient/Condition.write,N/A,N/A,N/A,user/Condition.write,N/A,N/A,N/A
patientIdentity,N/A,delete,nonMatchUrl,patientReferencePractitioner,N/A,patient/Observation.write,patient/Observation.read,N/A,N/A,N/A,user/Observation.write,N/A,system/Patient.write,system/Observation.write,N/A
N/A,N/A,delete,matchUrl,patientReferencePractitioner,patient/Patient.write,N/A,N/A,patient/Condition.write,user/Patient.write,user/Patient.read,N/A,user/Condition.write,N/A,N/A,system/Condition.write
patientIdentity,practitionerFhirUser,create,matchUrl,unmatchCondition,N/A,patient/Observation.write,N/A,N/A,N/A,user/Patient.read,N/A,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,N/A,update,matchUrl,matchPatient,patient/Patient.write,patient/Observation.write,patient/Observation.read,N/A,N/A,user/Patient.read,user/Observation.write,N/A,system/Patient.write,N/A,system/Condition.write
patientIdentity,N/A,patch,matchUrl,unmatchCondition,N/A,N/A,patient/Observation.read,patient/Condition.write,N/A,N/A,N/A,user/Condition.write,system/Patient.write,N/A,system/Condition.write
patientIdentity,patientFhirUser,delete,matchUrl,unmatchCondition,patient/Patient.write,N/A,N/A,N/A,user/Patient.write,N/A,user/Observation.write,N/A,N/A,N/A,N/A
patientIdentity,patientFhirUser,delete,matchUrl,matchPatient,N/A,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,N/A,system/Observation.write,N/A
N/A,practitionerFhirUser,create,nonMatchUrl,unmatchCondition,patient/Patient.write,N/A,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,N/A,N/A,system/Patient.write,system/Observation.write,system/Condition.write
N/A,N/A,update,nonMatchUrl,matchPatient,N/A,N/A,N/A,N/A,user/Patient.write,N/A,N/A,user/Condition.write,N/A,N/A,N/A
N/A,patientFhirUser,patch,nonMatchUrl,unmatchCondition,patient/Patient.write,patient/Observation.write,N/A,patient/Condition.write,N/A,user/Patient.read,user/Observation.write,N/A,system/Patient.write,system/Observation.write,N/A
N/A,N/A,delete,nonMatchUrl,unmatchCondition,N/A,patient/Observation.write,patient/Observation.read,N/A,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,N/A,N/A,system/Condition.write
N/A,practitionerFhirUser,delete,nonMatchUrl,matchPatient,N/A,N/A,N/A,patient/Condition.write,N/A,N/A,N/A,N/A,system/Patient.write,system/Observation.write,N/A
patientIdentity,practitionerFhirUser,create,matchUrl,matchObservation,patient/Patient.write,patient/Observation.write,N/A,N/A,N/A,N/A,N/A,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,create,nonMatchUrl,matchPatient,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,N/A,N/A
patientIdentity,practitionerFhirUser,create,matchUrl,unmatchPatient,patient/Patient.write,N/A,N/A,patient/Condition.write,N/A,user/Patient.read,user/Observation.write,N/A,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,patientFhirUser,create,matchUrl,patientReferencePractitioner,patient/Patient.write,N/A,N/A,N/A,N/A,N/A,N/A,user/Condition.write,N/A,N/A,N/A
patientIdentity,patientFhirUser,update,matchUrl,matchObservation,patient/Patient.write,N/A,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,user/Observation.write,user/Condition.write,N/A,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,update,matchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,patient/Observation.read,patient/Condition.write,user/Patient.write,N/A,N/A,user/Condition.write,N/A,N/A,N/A
patientIdentity,N/A,patch,matchUrl,patientReferencePractitioner,patient/Patient.write,patient/Observation.write,N/A,N/A,N/A,user/Patient.read,user/Observation.write,user/Condition.write,system/Patient.write,system/Observation.write,system/Condition.write
patientIdentity,practitionerFhirUser,delete,matchUrl,patientReferencePractitioner,patient/Patient.write,N/A,N/A,N/A,N/A,N/A,user/Observation.write,user/Condition.write,system/Patient.write,N/A,N/A
N/A,practitionerFhirUser,create,nonMatchUrl,matchObservation,N/A,N/A,patient/Observation.read,patient/Condition.write,user/Patient.write,user/Patient.read,user/Observation.write,N/A,N/A,N/A,system/Condition.write
